Date,Open,High,Low,Close,Adj Close,Volume
2015-09-25,1.520000,1.540000,1.500000,1.530000,1.354107,2159700
2015-09-28,1.530000,1.560000,1.520000,1.550000,1.371808,2390900
2015-09-29,1.550000,1.560000,1.530000,1.550000,1.371808,1624600
2015-09-30,1.550000,1.560000,1.530000,1.550000,1.371808,1930000
2015-10-01,1.560000,1.560000,1.540000,1.550000,1.371808,657400
2015-10-02,1.550000,1.550000,1.530000,1.530000,1.354107,929500
2015-10-05,1.550000,1.550000,1.530000,1.540000,1.362958,2575500
2015-10-06,1.550000,1.560000,1.530000,1.560000,1.380659,2540300
2015-10-07,1.550000,1.560000,1.540000,1.540000,1.362958,2263100
2015-10-08,1.560000,1.560000,1.510000,1.510000,1.336407,3561100
2015-10-09,1.540000,1.540000,1.510000,1.520000,1.345257,428500
2015-10-12,1.530000,1.550000,1.520000,1.530000,1.354107,667000
2015-10-13,1.540000,1.540000,1.510000,1.510000,1.336407,730800
2015-10-15,null,null,null,null,null,null
2015-10-16,1.510000,1.540000,1.510000,1.540000,1.362958,9887600
2015-10-19,1.540000,1.560000,1.520000,1.560000,1.380659,727800
2015-10-20,1.540000,1.540000,1.500000,1.520000,1.345257,3655700
2015-10-21,1.520000,1.530000,1.510000,1.510000,1.336407,3798000
2015-10-22,1.520000,1.530000,1.510000,1.510000,1.336407,1909100
2015-10-23,1.530000,1.540000,1.510000,1.530000,1.354107,629500
2015-10-26,null,null,null,null,null,null
2015-10-27,1.530000,1.530000,1.500000,1.530000,1.354107,3692700
2015-10-28,1.520000,1.520000,1.500000,1.500000,1.327556,4821600
2015-10-29,1.510000,1.510000,1.490000,1.490000,1.318706,2962600
2015-10-30,1.500000,1.530000,1.500000,1.530000,1.354107,1433800
2015-11-02,1.520000,1.530000,1.510000,1.510000,1.336407,4379100
2015-11-03,1.510000,1.530000,1.510000,1.520000,1.345257,2652800
2015-11-04,1.520000,1.540000,1.510000,1.520000,1.345257,2460200
2015-11-05,1.520000,1.540000,1.510000,1.520000,1.345257,2721900
2015-11-06,1.520000,1.530000,1.500000,1.500000,1.327556,4011800
2015-11-09,1.520000,1.520000,1.510000,1.510000,1.336407,1515800
2015-11-11,1.510000,1.530000,1.510000,1.520000,1.345257,3766800
2015-11-12,1.500000,1.520000,1.490000,1.510000,1.340375,2186300
2015-11-13,1.510000,1.510000,1.490000,1.490000,1.322622,4309300
2015-11-16,1.500000,1.520000,1.500000,1.500000,1.331498,1171800
2015-11-17,1.500000,1.520000,1.500000,1.510000,1.340375,3181400
2015-11-18,1.500000,1.520000,1.500000,1.420000,1.260485,3519800
2015-11-19,1.500000,1.530000,1.500000,1.510000,1.340375,1356600
2015-11-20,1.510000,1.530000,1.510000,1.510000,1.340375,1299800
2015-11-23,1.520000,1.530000,1.510000,1.530000,1.358128,340500
2015-11-24,1.530000,1.540000,1.520000,1.520000,1.349252,3252200
2015-11-25,1.520000,1.550000,1.520000,1.530000,1.358128,1344000
2015-11-26,1.530000,1.550000,1.530000,1.540000,1.367005,1754100
2015-11-27,1.530000,1.540000,1.520000,1.530000,1.358128,2537400
2015-11-30,1.530000,1.540000,1.510000,1.510000,1.340375,2556100
2015-12-01,1.510000,1.530000,1.510000,1.520000,1.349252,1388100
2015-12-02,1.520000,1.540000,1.510000,1.520000,1.349252,2613700
2015-12-03,1.520000,1.520000,1.510000,1.510000,1.340375,1379400
2015-12-04,1.510000,1.520000,1.500000,1.510000,1.340375,99900
2015-12-07,1.510000,1.520000,1.500000,1.520000,1.349252,243200
2015-12-08,1.520000,1.520000,1.490000,1.500000,1.331498,1747600
2015-12-09,1.500000,1.510000,1.480000,1.490000,1.322622,1099500
2015-12-10,1.500000,1.500000,1.460000,1.460000,1.295992,1288000
2015-12-11,1.480000,1.480000,1.450000,1.460000,1.295992,2056100
2015-12-14,1.470000,1.480000,1.450000,1.470000,1.304868,510500
2015-12-15,1.480000,1.480000,1.460000,1.460000,1.295992,446300
2015-12-16,1.470000,1.480000,1.460000,1.460000,1.295992,144500
2015-12-17,1.460000,1.480000,1.440000,1.450000,1.287115,1777800
2015-12-18,1.450000,1.470000,1.450000,1.460000,1.295992,1393800
2015-12-21,1.450000,1.460000,1.430000,1.430000,1.269362,1054400
2015-12-22,1.440000,1.460000,1.430000,1.440000,1.278239,1397400
2015-12-23,1.440000,1.450000,1.440000,1.440000,1.278239,475400
2015-12-28,1.450000,1.460000,1.450000,1.460000,1.295992,291900
2015-12-29,1.450000,1.470000,1.450000,1.460000,1.295992,267600
2015-12-30,1.450000,1.480000,1.450000,1.460000,1.295992,602900
2015-12-31,1.450000,1.470000,1.450000,1.460000,1.295992,967900
2016-01-04,1.460000,1.480000,1.460000,1.460000,1.295992,1112000
2016-01-05,1.460000,1.470000,1.440000,1.440000,1.278239,1542300
2016-01-06,1.450000,1.450000,1.440000,1.450000,1.287115,239200
2016-01-07,1.440000,1.450000,1.430000,1.440000,1.278239,1068700
2016-01-08,1.440000,1.460000,1.430000,1.450000,1.287115,1686800
2016-01-11,1.460000,1.470000,1.440000,1.460000,1.295992,826000
2016-01-12,1.460000,1.460000,1.440000,1.450000,1.287115,1727600
2016-01-13,1.450000,1.480000,1.450000,1.470000,1.304868,1390300
2016-01-14,1.460000,1.470000,1.450000,1.460000,1.295992,621200
2016-01-15,1.460000,1.480000,1.460000,1.470000,1.304868,1071100
2016-01-18,1.470000,1.470000,1.440000,1.450000,1.287115,1615700
2016-01-19,1.460000,1.470000,1.450000,1.470000,1.304868,674800
2016-01-20,1.470000,1.470000,1.440000,1.450000,1.287115,2985100
2016-01-21,1.460000,1.460000,1.440000,1.440000,1.278239,805600
2016-01-22,1.440000,1.460000,1.440000,1.450000,1.287115,1351000
2016-01-26,1.460000,1.470000,1.440000,1.460000,1.295992,1770800
2016-01-27,1.460000,1.490000,1.460000,1.480000,1.313745,1819100
2016-01-28,1.500000,1.500000,1.480000,1.500000,1.331498,1552700
2016-01-29,1.490000,1.500000,1.470000,1.470000,1.304868,2188600
2016-02-02,1.480000,1.490000,1.470000,1.490000,1.322622,929500
2016-02-03,1.490000,1.510000,1.480000,1.500000,1.331498,679400
2016-02-04,1.500000,1.520000,1.500000,1.520000,1.349252,730800
2016-02-05,1.510000,1.520000,1.500000,1.500000,1.331498,337300
2016-02-08,1.500000,1.500000,1.500000,1.500000,1.331498,0
2016-02-09,1.500000,1.500000,1.500000,1.500000,1.331498,0
2016-02-10,1.500000,1.510000,1.500000,1.500000,1.331498,183100
2016-02-11,1.490000,1.490000,1.470000,1.470000,1.308795,381000
2016-02-12,1.470000,1.560000,1.470000,1.550000,1.380022,2592200
2016-02-15,1.530000,1.570000,1.530000,1.560000,1.388925,3503600
2016-02-16,1.540000,1.590000,1.540000,1.570000,1.397828,3186500
2016-02-17,1.570000,1.580000,1.560000,1.560000,1.388925,1558000
2016-02-18,1.570000,1.580000,1.560000,1.570000,1.397828,3787500
2016-02-19,1.570000,1.640000,1.570000,1.600000,1.424538,2924200
2016-02-22,1.590000,1.600000,1.560000,1.580000,1.406732,1426300
2016-02-23,1.590000,1.610000,1.560000,1.600000,1.424538,5789200
2016-02-24,1.580000,1.580000,1.560000,1.570000,1.397828,2108500
2016-02-25,1.560000,1.570000,1.560000,1.570000,1.397828,1379100
2016-02-26,1.570000,1.580000,1.560000,1.560000,1.388925,253800
2016-02-29,1.560000,1.600000,1.560000,1.590000,1.415635,2727700
2016-03-01,1.590000,1.600000,1.580000,1.580000,1.406732,1726500
2016-03-02,1.580000,1.590000,1.570000,1.590000,1.415635,1784400
